country,designation,points,price,province,region_1,region_2,variety,winery
US,Martha's Vineyard,96,235,California,Napa Valley,Napa,Cabernet Sauvignon,Heitz
Spain,Carodorum Selección Especial Reserva,96,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
US,Special Selected Late Harvest,96,90,California,Knights Valley,Sonoma,Sauvignon Blanc,Macauley
US,Reserve,96,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
France,La Brûlade,95,66,Provence,Bandol,,Provence red blend,Domaine de la Bégude
Spain,Numanthia,95,73,Northern Spain,Toro,,Tinta de Toro,Numanthia
Spain,San Román,95,65,Northern Spain,Toro,,Tinta de Toro,Maurodos
Spain,Carodorum Único Crianza,95,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
US,Silice,95,65,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergström
US,Gap's Crown Vineyard,95,60,California,Sonoma Coast,Sonoma,Pinot Noir,Blue Farm
Italy,Ronco della Chiesa,95,80,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
US,Estate Vineyard Wadensvil Block,95,48,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,Weber Vineyard,95,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
France,Château Montus Prestige,95,90,Southwest France,Madiran,,Tannat,Vignobles Brumont
US,Grace Vineyard,95,185,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
US,Sigrid,95,90,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergström
US,Rainin Vineyard,95,325,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
Spain,6 Años Reserva Premium,95,80,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
France,Le Pigeonnier,95,290,Southwest France,Cahors,,Malbec,Château Lagrézette
US,Gap's Crown Vineyard,95,75,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
US,Grignolino,95,24,California,Napa Valley,Napa,Rosé,Heitz
Spain,Prado Enea Gran Reserva,95,79,Northern Spain,Rioja,,Tempranillo Blend,Muga
Spain,Termanthia,95,220,Northern Spain,Toro,,Tinta de Toro,Numanthia
US,Giallo Solare,95,60,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
US,R-Bar-R Ranch,95,45,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Comartin
New Zealand,Maté's Vineyard,94,57,Kumeu,,,Chardonnay,Kumeu River
US,Shea Vineyard,94,62,Oregon,Willamette Valley,,Pinot Noir,Bergström
US,Abetina,94,105,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
US,Garys' Vineyard,94,60,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
US,The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
Bulgaria,Bergulé,90,15,Bulgaria,,,Mavrud,Villa Melnik
US,Babushka,90,37,California,Russian River Valley,Sonoma,Chardonnay,Zepaltas
Italy,Vigna Piaggia,90,,Tuscany,Brunello di Montalcino,,Sangiovese,Abbadia Ardenga
France,Nonpareil Trésor Rosé Brut,90,22,France Other,Vin Mousseux,,Sparkling Blend,Bouvet-Ladubay
US,Conner Lee Vineyard,90,42,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buty
Italy,Riserva,90,135,Tuscany,Brunello di Montalcino,,Sangiovese,Carillon
France,,90,60,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Clos de L'Oratoire des Papes
Italy,,90,29,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Avignonesi
Italy,,90,23,Tuscany,Chianti Classico,,Sangiovese,Casina di Cornia
Italy,Riserva,90,29,Tuscany,Chianti Classico,,Red Blend,Castello di Monterinaldi
